step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
434,1380176,3472,0.42561039064854506,0.0,0.611365719523373
435,1384408,3480,0.42856332239716743,0.0,0.582302568981922
436,1386784,3488,0.3466177305155449,0.0,0.5831702544031311
437,1389928,3496,0.46871326666976715,0.0,0.6264940239043825
438,1392112,3504,0.5557388494779688,0.0,0.5827814569536424
439,1394680,3512,0.4997614563675737,0.0,0.595448798988622
440,1397376,3520,0.52002329525183,0.0,0.6095965103598692
441,1400200,3528,0.5123259756015259,0.0,0.572737686139748
442,1403664,3536,0.38640734256785647,0.0,0.5865504358655044
443,1410264,3544,0.2672625391607125,0.0,0.5974842767295597
444,1412832,3552,0.5020939784253831,0.0,0.5891276864728192
445,1415528,3560,0.5059136370129694,0.0,0.6155606407322655
446,1419184,3568,0.4946657135753635,0.0,0.6281847133757962
447,1423032,3576,0.4909301504720104,0.0,0.6066775244299675
448,1426432,3584,0.4882340822013294,0.0,0.5946745562130178
449,1429896,3592,0.40004077947376365,0.0,0.558109833971903
450,1433936,3600,0.3961923660076557,0.0,0.5770423991726991
451,1436952,3608,0.41212469976111454,0.0,0.6010430247718384
452,1439840,3616,0.6393010541339544,0.0,0.59846547314578
453,1443752,3624,0.4483217903572644,0.0,0.5961887477313974
454,1446576,3632,0.41909711418108936,0.0,0.6333333333333333
455,1449464,3640,0.5721674888485663,0.0,0.5433070866141733
456,1451648,3648,0.6101125387246854,0.0,0.5785627283800243
457,1454088,3656,0.5009243010050766,0.0,0.6413551401869159
458,1456592,3664,0.6365705885461804,0.0,0.5654627539503386
459,1460632,3672,0.4232591185599687,0.0,0.5820158102766798
460,1462944,3680,0.510172621978531,0.0,0.5948158253751705
461,1466344,3688,0.4589099019797125,0.0,0.6189573459715639
